"trt1_name","trt2_name"
"Unamended","Green Manure"
"Unamended","N Mineral Fertilizer"
"Unamended","Integrated Fertility Management"
"N Mineral Fertilizer","Green Manure"
"N Mineral Fertilizer","Integrated Fertility Management"
"Unamended","Organic Amendment Combination"
"N Mineral Fertilizer","Organic Amendment Combination"
"Unamended","NPK Mineral Fertilizer"
"Unamended","PK Mineral Fertilizer"
"Unamended","NP Mineral Fertilizer"
"Unamended","Animal Manure"
"NP Mineral Fertilizer","Animal Manure"
"NP Mineral Fertilizer","Integrated Fertility Management"
"Unamended","Insect Frass"
"Unamended","Legume Intercrop"
"P Mineral Fertilizer","Integrated Fertility Management"
"NP Mineral Fertilizer","Organic Amendment Combination"
"Unamended","NK Mineral Fertilizer"
"Unamended","Incinerated Organics"
"NPK Mineral Fertilizer","Incinerated Organics"
"NPK Mineral Fertilizer","Integrated Fertility Management"
"Unamended","Biologicals"
"NP Mineral Fertilizer","Green Manure"
"Unamended","P Mineral Fertilizer"
"P Mineral Fertilizer","Green Manure"
"PK Mineral Fertilizer","Integrated Fertility Management"
"K Mineral Fertilizer","Integrated Fertility Management"
"P Mineral Fertilizer","Animal Manure"
"N Mineral Fertilizer","Animal Manure"
"P Mineral Fertilizer","Incinerated Organics"
"P Mineral Fertilizer","Organic Amendment Combination"
